Code,Name,City,Country
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,United States
PEK,Beijing Capital International Airport,Beijing,China
DXB,Dubai International Airport,Dubai,United Arab Emirates
LAX,Los Angeles International Airport,Los Angeles,United States
HND,Tokyo Haneda Airport,Tokyo,Japan
ORD,O'Hare International Airport,Chicago,United States
LHR,Heathrow Airport,London,United Kingdom
DFW,Dallas/Fort Worth International Airport,Dallas,United States
PVG,Shanghai Pudong International Airport,Shanghai,China
CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia
JFK,John F. Kennedy International Airport,New York,United States
ICN,Incheon International Airport,SeoulSouth Korea
SIN,Changi Airport,Singapore,Singapore
CAN,Guangzhou Baiyun International Airport,Guangzhou,China
DEN,Denver International Airport,Denver,United States
BKK,Suvarnabhumi Airport,Bangkok,Thailand
DEL,Indira Gandhi International Airport,Delhi,India
SFO,San Francisco International Airport,San Francisco,United States
CGH,Congonhas Airport,São Paulo,Brazil
LAS,McCarran International Airport,Las Vegas,United States
MEX,Mexico City International Airport,Mexico City,Mexico
FCO,Leonardo da Vinci-Fiumicino Airport,Rome,Italy
SVO,Sheremetyevo International Airport,Moscow,Russia
SYD,Sydney Airport,Sydney,Australia
IAH,George Bush Intercontinental Airport,Houston,United States
KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia
SEA,Seattle-Tacoma International Airport,Seattle,United States
AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands
ORY,Orly Airport,Paris,France
TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan
KMG,Kunming Changshui International Airport,Kunming,China
LAS,McCarran International Airport,Las Vegas,United States
SZX,Shenzhen Bao'an International Airport,Shenzhen,China
EWR,Newark Liberty International Airport,Newark,United States
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,India
JED,King Abdulaziz International Airport,Jeddah,Saudi Arabia
BNE,Brisbane Airport,Brisbane,Australia
YYZ,Toronto Pearson International Airport,Toronto,Canada
KIX,Kansai International Airport,Osaka,Japan
IST,Istanbul Airport,Istanbul,Turkey
LGW,Gatwick Airport,London,United Kingdom
PHX,Phoenix Sky Harbor International Airport,Phoenix,United States
DOH,Hamad International Airport,Doha,Qatar
MUC,Munich Airport,Munich,Germany
FRA,Frankfurt Airport,Frankfurt,Germany
CLT,Charlotte Douglas International Airport,Charlotte,United States
MCO,Orlando International Airport,Orlando,United States
PHL,Philadelphia International Airport,Philadelphia,United States
MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain
KMG,Kunming Changshui International Airport,Kunming,China
CTU,Chengdu Shuangliu International Airport,Chengdu,China
BKK,Suvarnabhumi Airport,Bangkok,Thailand
CAN,Guangzhou Baiyun International Airport,Guangzhou,China
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,India
KUL,Kuala Lumpur International Airport,Kuala Lumpur,Malaysia
LAS,McCarran International Airport,Las Vegas,United States
SZX,Shenzhen Bao'an International Airport,Shenzhen,China
EWR,Newark Liberty International Airport,Newark,United States
BNE,Brisbane Airport,Brisbane,Australia
YYZ,Toronto Pearson International Airport,Toronto,Canada
KIX,Kansai International Airport,Osaka,Japan
IST,Istanbul Airport,Istanbul,Turkey
LGW,Gatwick Airport,London,United Kingdom
PHX,Phoenix Sky Harbor International Airport,Phoenix,United States
DOH,Hamad International Airport,Doha,Qatar
MUC,Munich Airport,Munich,Germany
FRA,Frankfurt Airport,Frankfurt,Germany
CLT,Charlotte Douglas International Airport,Charlotte,United States
MCO,Orlando International Airport,Orlando,United States
PHL,Philadelphia International Airport,Philadelphia,United States
MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain
LGA,LaGuardia Airport,New York,United States
YYC,Calgary International Airport,Calgary,Canada
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,United States
DCA,Ronald Reagan Washington National Airport,Washington,United States
BRU,Brussels Airport,Brussels,Belgium
